code,title,department_code,active,compulsory,semester,category,start_year,finish_year,credits,branch,type,class_work_marks,mid_sem_marks,final_marks,total_marks,lecture_part,tutorial_part,practical_part
AC101,Applied Chemistry-I,AC,FALSE,TRUE,1,BS,2001,2010,3,FY,T,15,25,60,100,3,1,0
AC102,Applied Chemistry-II,AC,FALSE,TRUE,2,BS,2001,2010,3,FY,T,15,25,60,100,3,1,0
AC103,Applied Chemistry,AC,FALSE,TRUE,1,BS,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AC111,Applied Chemistry,AC,FALSE,TRUE,0,BS,2011,2016,4,FY,T,15,25,60,100,3,1,0
AC191,Applied Chemistry Lab-I,AC,FALSE,TRUE,1,BS,2001,2010,1,FY,P,60,NULL,40,100,0,1,2
AC192,Applied Chemistry Lab-II,AC,FALSE,TRUE,2,BS,2001,2010,1,FY,P,60,NULL,40,100,0,1,2
AC193,Applied Chemistry Lab,AC,FALSE,TRUE,1,BS,2001,2010,1,AR,P,60,40,NULL,100,3,1,0
AC194,Applied Chemistry Lab,AC,FALSE,TRUE,0,BS,2011,2016,2,FY,P,60,0,40,100,0,1,2
AC204,Engg. Chemistry,AC,FALSE,TRUE,4,BS,2001,2010,3,KE,T,15,25,60,100,3,1,0
AC211,Engg Chemistry & Material Science,AC,FALSE,TRUE,4,BS,2011,2016,4,KE,T,15,25,60,100,3,1,0
AC294,Applied Chemistry Lab III,AC,FALSE,TRUE,4,BS,2001,2010,1,KE,P,60,NULL,40,100,0,1,2
AC308,Atmospheric Chemistry,AC,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AC311,Engineering Materials,AC,FALSE,TRUE,5,ESA,2011,2016,4,PK,T,15,25,60,100,3,1,0
AC317,Engg. & Polymeric Materials,AC,FALSE,TRUE,5,ESA,2004,2010,4,PK,T,15,25,60,100,3,1,0
ACA2120,Material Science & Engg Materials,AC,TRUE,TRUE,4,ESA,2017,NULL,3,KE,T,15,25,60,100,3,0,0
ACA3110,Engineering Materials,AC,TRUE,TRUE,5,ESA,2017,NULL,4,PK,T,15,25,60,100,3,1,0
ACS1110,Applied Chemistry,AC,TRUE,TRUE,0,BS,2017,NULL,4,FY,T,15,25,60,100,3,1,0
ACS1910,Applied Chemistry Lab,AC,TRUE,TRUE,0,BS,2017,NULL,1.5,FY,P,60,0,40,100,0,0,3
ACS2110,Engineering Chemistry,AC,TRUE,TRUE,4,BS,2017,NULL,3,KE,T,15,25,40,100,3,0,0
AM101,Applied Mathematics-I,AM,FALSE,TRUE,1,BS,2001,2010,5,FY,T,15,25,60,100,3,1,0
AM102,Applied Mathematics-II,AM,FALSE,TRUE,2,BS,2001,2010,5,FY,T,15,25,60,100,3,1,0
AM111,Mathematics-I,AM,FALSE,TRUE,1,BS,2011,2016,4,FY,T,15,25,60,100,3,1,0
AM112,Mathematics-II,AM,FALSE,TRUE,2,BS,2011,2016,4,FY,T,15,25,60,100,3,1,0
AM181F,Basic Engg Mathematics Seminar-I,AM,FALSE,FALSE,0,BS,2005,2010,1,FY,P,60,NULL,40,100,0,1,2
AM182F,Basic Engg Mathematics Seminar-II,AM,FALSE,FALSE,0,BS,2005,2010,1,FY,P,60,NULL,40,100,0,1,2
AM211,Mathematics-III,AM,FALSE,TRUE,3,BS,2001,2016,4,CE,T,15,25,60,100,3,1,0
AM212,Mathematics IV,AM,FALSE,TRUE,4,BS,2001,2016,4,CE,T,15,25,60,100,3,1,0
AM221,Higher Mathematics-I,AM,FALSE,TRUE,3,BS,2001,2010,4,EE,T,15,25,60,100,3,1,0
AM222,Higher Mathematics-II,AM,FALSE,TRUE,4,BS,2001,2010,4,EE,T,15,25,60,100,3,1,0
AM223,Higher Mathematics,AM,FALSE,TRUE,3,BS,2011,2016,4,EE,T,15,25,60,100,3,1,0
AM224,Higher Mathematics,AM,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AM231,Higher Mathematics,AM,FALSE,TRUE,3,BS,2001,2016,4,ME,T,15,25,60,100,3,1,0
AM232,Numerical Methods & Optimization,AM,FALSE,TRUE,4,ESA,2011,2016,4,ME,T,15,25,60,100,3,1,0
AM241,Higher Mathematics,AM,FALSE,TRUE,3,BS,2001,2016,4,KE,T,15,25,60,100,3,1,0
AM242,Applied Numerical Methods,AM,FALSE,TRUE,4,BS,2001,2016,4,PK,T,15,25,60,100,3,1,0
AM251,Higher Mathematics-I,AM,TRUE,TRUE,3,BS,2001,NULL,4,LE,T,15,25,60,100,3,1,0
AM252,Higher Mathematics-II,AM,FALSE,TRUE,3,BS,2001,2016,4,LE,T,15,25,60,100,3,1,0
AM261,Higher Mathematics,AM,FALSE,TRUE,3,BS,2001,2016,4,PE,T,15,25,60,100,3,1,0
AM262,"Num. Anal., Transforms & Probab.",AM,FALSE,TRUE,4,BS,2001,2016,4,PE,T,15,25,60,100,3,1,0
AM263,Discrete Structure,AM,FALSE,TRUE,4,BS,2011,2016,4,PE,T,15,25,60,100,3,1,0
AM291N,Computer Lab,AM,FALSE,TRUE,3,BS,2004,2010,1.5,PK,P,60,NULL,40,100,0,1,2
AM331,Numerical Methods & Optimization,AM,FALSE,TRUE,5,BS,2001,2010,4,ME,T,15,25,60,100,3,1,0
AM351,Numerical Techniques,AM,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AM443,Advanced Numerical Methods,AM,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AMS1110,Applied Mathematics-I,AM,TRUE,TRUE,1,BS,2017,NULL,4,FY,T,15,25,60,100,3,1,0
AMS1120,Applied Mathematics-II,AM,TRUE,TRUE,2,BS,2017,NULL,4,FY,T,15,25,60,100,3,1,0
AMS2110,Mathematics-III,AM,TRUE,TRUE,3,BS,2017,NULL,3,CE,T,15,25,60,100,2,1,0
AMS2120,Mathematics-IV,AM,TRUE,TRUE,4,BS,2017,NULL,3,CE,T,15,25,60,100,2,1,0
AMS2230,Higher Mathematics,AM,TRUE,TRUE,3,BS,2017,NULL,4,NULL,T,15,25,60,100,3,1,0
AMS2310,Higher Mathematics,AM,TRUE,TRUE,3,BS,2017,NULL,4,ME,T,15,25,60,100,3,1,0
